idx,abs_rel,d1,rmse
0155,3.350566,0.000000,6.516197
0167,3.079532,0.000000,6.035292
0168,4.800067,0.000000,7.338652
0169,3.652652,0.000000,7.107354
0171,2.431386,0.000000,6.136490
0172,2.424675,0.000000,5.947077
0173,2.541239,0.000000,5.450330
0174,1.892971,0.000000,5.682283
0175,3.496448,0.000000,6.620477
0176,3.779500,0.000000,7.113478
0180,3.032051,0.000000,6.676806
0181,3.022881,0.000000,6.497040
0182,3.035435,0.000000,6.573627
0183,3.993333,0.000000,7.459251
0184,4.479427,0.000000,7.719877
0185,3.943488,0.000000,7.384064
0186,3.347118,0.000000,7.372878
0187,3.960210,0.000000,6.742987
0188,3.940546,0.000000,7.093426
0189,4.135003,0.000000,7.232823
0190,2.775940,0.000000,6.553244
0191,4.507763,0.000000,6.997576
0192,3.794347,0.000000,7.033044
0193,3.969778,0.000000,7.395350
0194,4.797244,0.000000,7.400600
0195,6.484916,0.000000,7.389007
0196,5.245894,0.000000,6.983365
0197,8.283528,0.000000,8.325467
0198,4.947514,0.000000,6.901976
0199,3.729459,0.000000,6.828803
0200,4.506469,0.000000,6.629986
0201,2.707782,0.003404,6.274816
0202,3.191689,0.000000,6.860123
0207,3.204530,0.000000,6.639827
0208,2.423480,0.000000,5.880053
0209,2.889637,0.000000,6.808368
0210,2.500502,0.000000,6.022500
0211,2.530338,0.000000,6.378741
0212,2.612065,0.000000,5.880778
0220,2.792526,0.000000,6.403913
0221,1.917563,0.000000,5.721363
0222,2.389653,0.000000,5.747697
0250,5.426043,0.000000,7.569233
0264,2.893415,0.000000,6.654842
0271,2.228151,0.000000,5.989951
0272,1.214014,0.084939,4.822450
0273,0.595370,0.412001,3.292398
0279,1.305957,0.077293,4.968482
0280,2.819632,0.000000,6.396676
0281,2.243674,0.000000,6.181252
0282,2.777916,0.000000,6.785995
0283,4.124320,0.000000,7.299903
0284,1.647072,0.000000,5.409054
0285,1.741680,0.000000,5.486836
0296,1.879988,0.000000,5.471206
0297,1.976595,0.000000,5.731488
0298,2.059401,0.000000,5.860466
0299,1.374163,0.000000,4.954303
0300,1.819462,0.000000,5.544395
0301,1.262890,0.015489,4.658169
0302,1.634850,0.000000,5.342908
0310,1.573659,0.000000,5.077238
0311,1.626322,0.049857,4.863201
0312,1.629625,0.000000,5.518121
0315,1.888758,0.000000,5.600496
0316,1.531730,0.000000,5.035059
0317,1.584599,0.000000,5.059316
0325,2.405728,0.000000,6.016170
0326,2.076672,0.000000,5.788248
0327,1.747867,0.000000,5.682798
0328,2.323293,0.000000,6.230456
0329,2.449539,0.000000,5.735753
0330,2.687911,0.000000,5.759968
0331,1.074963,0.122460,4.263543
0332,1.689903,0.000000,5.288653
0333,1.989736,0.016901,5.017246
0334,1.406853,0.086590,4.719966
0335,1.419868,0.038732,5.134943
0351,1.585815,0.042949,5.252865
0352,1.351032,0.179686,4.734355
0355,1.439861,0.000000,5.316725
0356,2.432311,0.000000,5.409584
0357,2.336353,0.000000,6.005740
0358,1.857007,0.000000,5.420446
0359,2.406746,0.000000,6.319553
0360,2.957484,0.000000,6.324915
0361,5.170976,0.000000,7.117149
0362,3.562903,0.000000,6.479439
